reference,systeme reel,terme integral,observateur,observateur et terme integral
-1,-0.994837673636768,-0.959931088596881,-0.959931088596881,-0.994837673636768
-1,-1.01229096615671,-0.959931088596881,-0.959931088596881,-0.994837673636768
-1,-1.02974425867665,-0.959931088596881,-0.977384381116825,-0.994837673636768
-1,-1.0471975511966,-0.942477796076938,-0.994837673636768,-0.994837673636768
-1,-1.06465084371654,-0.942477796076938,-1.01229096615671,-0.994837673636768
-1,-1.09955742875643,-0.959931088596881,-1.02974425867665,-0.994837673636768
-1,-1.11701072127637,-0.959931088596881,-1.02974425867665,-0.994837673636768
-1,-1.13446401379631,-0.959931088596881,-1.0471975511966,-0.994837673636768
-1,-1.15191730631626,-0.959931088596881,-1.06465084371654,-0.994837673636768
-1,-1.1693705988362,-0.977384381116825,-1.08210413623648,-0.994837673636768
-1,-1.18682389135614,-0.977384381116825,-1.08210413623648,-0.994837673636768
-1,-1.18682389135614,-0.994837673636768,-1.09955742875643,-0.994837673636768
-1,-1.20427718387609,-0.994837673636768,-1.09955742875643,-0.994837673636768
-1,-1.22173047639603,-1.01229096615671,-1.11701072127637,-0.994837673636768
-1,-1.22173047639603,-1.01229096615671,-1.11701072127637,-0.994837673636768
-1,-1.22173047639603,-1.02974425867665,-1.11701072127637,-0.994837673636768
-1,-1.22173047639603,-1.02974425867665,-1.11701072127637,-0.994837673636768
-1,-1.22173047639603,-1.02974425867665,-1.11701072127637,-0.994837673636768
-1,-1.22173047639603,-1.02974425867665,-1.11701072127637,-0.994837673636768
-1,-1.20427718387609,-1.02974425867665,-1.11701072127637,-0.994837673636768
-1,-1.20427718387609,-1.02974425867665,-1.09955742875643,-0.994837673636768
-1,-1.18682389135614,-1.02974425867665,-1.09955742875643,-0.994837673636768
-1,-1.18682389135614,-1.02974425867665,-1.09955742875643,-0.994837673636768
-1,-1.1693705988362,-1.01229096615671,-1.08210413623648,-0.994837673636768
-1,-1.15191730631626,-1.01229096615671,-1.06465084371654,-0.994837673636768
-1,-1.13446401379631,-1.01229096615671,-1.06465084371654,-0.994837673636768
-1,-1.11701072127637,-0.994837673636768,-1.0471975511966,-0.994837673636768
-1,-1.09955742875643,-0.994837673636768,-1.0471975511966,-0.994837673636768
-1,-1.08210413623648,-0.994837673636768,-1.02974425867665,-0.994837673636768
-1,-1.06465084371654,-0.977384381116825,-1.01229096615671,-0.994837673636768
-1,-1.0471975511966,-0.977384381116825,-1.01229096615671,-0.994837673636768
-1,-1.02974425867665,-0.977384381116825,-0.994837673636768,-0.994837673636768
-1,-1.01229096615671,-0.977384381116825,-0.994837673636768,-0.994837673636768
-1,-0.994837673636768,-0.977384381116825,-0.977384381116825,-0.994837673636768
-1,-0.977384381116825,-0.977384381116825,-0.959931088596881,-0.994837673636768
-1,-0.959931088596881,-0.977384381116825,-0.959931088596881,-0.994837673636768
-1,-0.959931088596881,-0.994837673636768,-0.942477796076938,-0.994837673636768
-1,-0.942477796076938,-0.994837673636768,-0.942477796076938,-0.994837673636768
-1,-0.925024503556995,-0.994837673636768,-0.925024503556995,-1.01229096615671
-1,-0.907571211037051,-0.994837673636768,-0.925024503556995,-1.01229096615671
-1,-0.907571211037051,-0.994837673636768,-0.925024503556995,-1.01229096615671
-1,-0.890117918517108,-1.01229096615671,-0.925024503556995,-1.01229096615671
-1,-0.890117918517108,-1.01229096615671,-0.907571211037051,-1.01229096615671
-1,-0.872664625997165,-1.01229096615671,-0.907571211037051,-1.01229096615671
-1,-0.872664625997165,-1.02974425867665,-0.907571211037051,-1.01229096615671
-1,-0.872664625997165,-1.02974425867665,-0.907571211037051,-1.01229096615671
-1,-0.872664625997165,-1.02974425867665,-0.907571211037051,-1.01229096615671
-1,-0.872664625997165,-1.02974425867665,-0.925024503556995,-0.994837673636768
-1,-0.872664625997165,-1.02974425867665,-0.925024503556995,-0.994837673636768
-1,-0.872664625997165,-1.01229096615671,-0.925024503556995,-0.994837673636768
-1,-0.872664625997165,-1.01229096615671,-0.925024503556995,-0.977384381116825
-1,-0.872664625997165,-1.01229096615671,-0.925024503556995,-0.977384381116825
-1,-0.890117918517108,-1.01229096615671,-0.942477796076938,-0.977384381116825
-1,-0.890117918517108,-0.994837673636768,-0.942477796076938,-0.977384381116825
-1,-0.890117918517108,-0.994837673636768,-0.959931088596881,-0.977384381116825
-1,-0.907571211037051,-0.994837673636768,-0.959931088596881,-0.994837673636768
-1,-0.907571211037051,-0.977384381116825,-0.977384381116825,-0.994837673636768
